,Bowler,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,No of seasons,Last 3 mean,Score
146,JP Faulkner,,,,5.0,9.061224489795919,6.622784810126583,9.690647482014388,9.245551601423488,9.333333333333334,10.20731707317073,7,21.981323959147065,15.98879437548824
147,JR Hopes,10.0,,,8.393939393939394,,,,,,,2,,
148,JW Hastings,,,,,,,9.157894736842106,,5.285714285714286,,2,,
149,K Goel,12.5,7.591836734693878,7.0,,,,,,,,3,,
150,K Rabada,,,,,,,,,,8.671532846715328,1,,
151,K Santokie,,,,,,,10.70588235294118,,,,1,,
152,K Upadhyay,,,,,8.25,9.0,,,,,2,,
153,KA Pollard,,,7.107296137339056,8.155555555555555,7.384615384615386,8.893401015228427,9.9375,8.962962962962962,13.2972972972973,15.0,8,27.26026026026026,19.556156156156156
154,KAJ Roach,,,9.230769230769232,,,,,,,,1,,
155,Kamran Khan,,7.338842975206611,8.368421052631579,15.66666666666667,,,,,,,3,,
156,Karanveer Singh,,,,,,,7.80952380952381,10.96551724137931,,,2,,
157,KC Cariappa,,,,,,,,14.0,9.142857142857142,8.106382978723403,3,25.84498480243161,16.706990881458967
158,KH Pandya,,,,,,,,,7.360824742268043,6.829268292682926,2,,
159,KJ Abbott,,,,,,,,,10.70588235294118,,1,,
160,KK Cooper,,,,,7.530201342281879,8.023460410557185,7.963636363636365,,,,3,,
161,KMDN Kulasekara,,,,8.210526315789474,6.545454545454545,,,,,,2,,
162,KP Appanna,,7.583333333333332,7.116279069767442,,8.355140186915888,,,,,,3,,
163,KP Pietersen,,6.6,7.700000000000001,,7.949999999999998,,,,,,3,,
164,KS Williamson,,,,,,,,,7.0,,1,,
165,Kuldeep Yadav,,,,,,,,,8.27027027027027,8.28,2,,
166,KV Sharma,,,,,,6.682464454976303,7.680781758957654,8.485355648535565,10.44,6.888888888888889,5,21.221651944831862,14.732991166899117
167,KW Richardson,,,,,,8.465753424657535,7.508982035928144,,9.627906976744185,,3,,
168,L Ablish,,,8.222222222222223,13.0,,,,,,,2,,
169,L Balaji,8.57560975609756,8.384279475982533,8.73469387755102,8.148936170212766,5.365079365079366,7.69774919614148,8.672985781990521,,,,7,,
170,LA Carseldine,,5.142857142857142,,,,,,,,,1,,
171,LH Ferguson,,,,,,,,,,6.620689655172414,1,,
