Row Labels,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,No of seasons,Last 3 mean,Score
AJ Finch,4.333333333333333,4.333333333333333,6.0,5.0,4.333333333333333,4.333333333333333,4.333333333333333,4.333333333333333,4.333333333333333,4.333333333333333,2,15.666666666666668,10.2
AJ Tye,4.274193548387097,4.274193548387097,4.274193548387097,4.274193548387097,4.274193548387097,4.274193548387097,4.274193548387097,4.274193548387097,4.274193548387097,7.548387096774194,1,14.634408602150536,9.180645161290322
AL Menaria,14.666666666666666,14.666666666666666,14.666666666666666,12.0,30.0,14.666666666666666,14.666666666666666,14.666666666666666,14.666666666666666,14.666666666666666,2,5.333333333333334,4.0
AM Nayar,5.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,15.0,9.4
AM Salvi,6.504273504273505,7.846153846153847,6.504273504273505,9.666666666666668,6.504273504273505,6.504273504273505,6.504273504273505,6.504273504273505,6.504273504273505,6.504273504273505,2,13.495726495726494,8.897435897435896
AN Ahmed,8.31,8.31,8.31,7.071428571428571,8.31,5.0,10.05,15.42857142857143,8.31,8.31,4,9.317142857142855,7.190285714285713
Anand Rajan,9.05,9.05,9.05,10.2,16.5,6.5,9.05,9.05,9.05,9.05,3,10.95,7.769999999999999
Ankit Sharma,8.892857142857142,8.892857142857142,8.892857142857142,8.892857142857142,12.0,8.892857142857142,8.892857142857142,6.0,14.57142857142857,8.892857142857142,3,10.178571428571429,7.307142857142857
Ankit Soni,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,24.0,1,3.666666666666668,2.6000000000000005
Anureet Singh,7.656213704994189,10.28571428571428,7.656213704994189,7.656213704994189,7.656213704994189,7.656213704994189,7.656213704994189,10.68292682926829,7.656213704994189,7.656213704994189,2,11.334881920247776,7.600929152148666
AP Dole,5.576923076923075,5.576923076923075,10.15384615384615,5.576923076923075,5.576923076923075,5.576923076923075,5.576923076923075,5.576923076923075,5.576923076923075,5.576923076923075,1,14.423076923076923,9.053846153846155
AR Patel,8.024160770736113,8.024160770736113,8.024160770736113,8.024160770736113,8.024160770736113,8.024160770736113,7.516483516483516,10.02739726027397,10.5,8.076923076923077,4,10.46522655426765,7.879135932560589
AS Rajpoot,7.897435897435898,7.897435897435898,7.897435897435898,7.897435897435898,7.897435897435898,7.897435897435898,7.897435897435898,7.897435897435898,9.692307692307693,12.0,2,10.136752136752136,6.882051282051282
AS Raut,3.75,6.5,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,1,16.25,10.15
AUK Pathan,8.444444444444445,8.444444444444445,8.444444444444445,9.333333333333334,14.0,8.444444444444445,8.444444444444445,8.444444444444445,8.444444444444445,8.444444444444445,2,11.555555555555555,7.7333333333333325
Avesh Khan,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,14.0,1,10.333333333333334,6.6
Azhar Mahmood,9.259635388882963,9.259635388882963,9.259635388882963,9.259635388882963,9.173076923076923,9.436893203883495,9.259635388882963,15.42857142857143,9.259635388882963,9.259635388882963,3,8.684052597887549,6.410431558732529
B Akhil,11.7,9.0,9.782142857142858,15.42857142857143,9.782142857142858,9.782142857142858,9.782142857142858,9.782142857142858,9.782142857142858,9.782142857142858,3,10.217857142857142,7.330714285714285
B Geeves,10.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,1,14.5,9.1
B Kumar,7.99323526173371,7.99323526173371,7.99323526173371,7.99323526173371,7.555555555555556,8.057142857142857,8.11111111111111,9.245901639344261,9.034883720930232,7.948051948051948,6,11.257054230557854,9.154232538334712
B Laughlin,7.25,7.25,7.25,7.25,7.25,13.5,7.25,7.25,7.25,7.25,1,12.75,8.05
B Lee,9.75,4.043478260869565,12.51428571428572,8.102564102564102,8.962962962962962,10.32,8.527613005811764,8.527613005811764,8.527613005811764,8.527613005811764,6,11.472386994188236,9.283432196512942
BA Bhatt,6.939625850340136,6.939625850340136,6.939625850340136,8.693877551020408,10.125,6.939625850340136,6.939625850340136,6.939625850340136,6.939625850340136,6.939625850340136,2,13.060374149659864,8.636224489795918
BA Stokes,4.396103896103897,4.396103896103897,4.396103896103897,4.396103896103897,4.396103896103897,4.396103896103897,4.396103896103897,4.396103896103897,4.396103896103897,7.792207792207793,1,14.47186147186147,9.083116883116881
Basil Thampi,5.72222222222222,5.72222222222222,5.72222222222222,5.72222222222222,5.72222222222222,5.72222222222222,5.72222222222222,5.72222222222222,5.72222222222222,10.44444444444444,1,12.703703703703706,8.022222222222222
BAW Mendis,7.0,7.6,13.0,7.720000000000001,7.720000000000001,7.0,7.720000000000001,7.720000000000001,7.720000000000001,7.720000000000001,4,12.279999999999998,8.967999999999998
BB Sran,4.5212765957446805,4.5212765957446805,4.5212765957446805,4.5212765957446805,4.5212765957446805,4.5212765957446805,4.5212765957446805,4.5212765957446805,8.042553191489361,4.5212765957446805,1,14.304964539007091,8.982978723404255
BCJ Cutting,7.058823529411764,7.058823529411764,7.058823529411764,7.058823529411764,7.058823529411764,7.058823529411764,7.058823529411764,7.058823529411764,7.0,12.17647058823529,2,11.254901960784315,7.552941176470588
BE Hendricks,6.230537634408603,6.230537634408603,6.230537634408603,6.230537634408603,6.230537634408603,6.230537634408603,10.45161290322581,6.24,6.230537634408603,6.230537634408603,2,13.766308243727597,9.059784946236558
Bipul Sharma,13.271428571428569,13.271428571428569,15.0,8.571428571428571,28.5,13.271428571428569,13.271428571428569,13.271428571428569,13.271428571428569,10.28571428571428,4,7.723809523809528,6.234285714285717
BJ Hodge,5.0,10.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,2,15.0,9.8
BW Hilfenhaus,7.82635046113307,7.82635046113307,7.82635046113307,7.82635046113307,9.26086956521739,7.82635046113307,12.21818181818182,7.82635046113307,7.82635046113307,7.82635046113307,2,12.173649538866929,8.104189723320157
C de Grandhomme,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.0,1,5.666666666666666,3.8
C Nanda,3.9285714285714284,6.857142857142857,3.9285714285714284,3.9285714285714284,3.9285714285714284,3.9285714285714284,3.9285714285714284,3.9285714285714284,3.9285714285714284,3.9285714285714284,1,16.071428571428573,10.042857142857144
CH Gayle,9.092431819986,7.636363636363637,10.33333333333333,8.235294117647058,19.63636363636364,10.42105263157895,9.092431819986,9.092431819986,1.384615384615385,9.092431819986,6,13.476840325137537,10.486104195082522
CH Morris,7.429061145503195,7.429061145503195,7.429061145503195,7.429061145503195,7.429061145503195,8.816326530612246,7.429061145503195,9.226415094339622,7.333333333333334,7.76923076923077,4,11.890340267698758,8.734204160619253
CJ Anderson,8.18130081300813,8.18130081300813,8.18130081300813,8.18130081300813,8.18130081300813,8.18130081300813,12.3,8.18130081300813,8.18130081300813,10.24390243902439,2,11.131165311653115,7.47869918699187
CJ Jordan,6.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125,11.25,6.125,1,12.166666666666668,7.7
CJ McKay,5.5,5.5,5.5,5.5,10.0,5.5,5.5,5.5,5.5,5.5,1,14.5,9.1
CK Kapugedera,15.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1,12.0,7.6
