Bowler,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,No of seasons,Last 3 mean,Score
C Munro,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,7.5,4.25,1,14.666666666666668,9.2
C Nanda,3.9799999999999995,6.959999999999999,3.9799999999999995,3.9799999999999995,3.9799999999999995,3.9799999999999995,3.9799999999999995,3.9799999999999995,3.9799999999999995,3.9799999999999995,1,16.02,10.012
CH Gayle,8.371578323637147,7.361344537815127,9.0,6.986666666666666,13.4,9.84,8.371578323637147,7.384615384615386,6.0,8.371578323637147,7,12.74793543058249,10.448761258349496
CH Morris,6.817184927215399,6.817184927215399,6.817184927215399,6.817184927215399,6.817184927215399,7.961165048543689,6.817184927215399,7.466666666666666,7.007299270072992,7.65079365079365,4,12.625080137488897,9.175048082493339
CJ Anderson,7.604366028708134,7.604366028708134,7.604366028708134,7.604366028708134,7.604366028708134,7.604366028708134,9.894736842105264,8.25,7.604366028708134,9.272727272727273,3,11.624302232854864,8.174581339712919
CJ Jordan,6.46303604314654,6.46303604314654,6.46303604314654,6.46303604314654,6.46303604314654,6.46303604314654,6.46303604314654,6.46303604314654,8.81767955801105,8.571428571428571,2,12.04928527580461,8.029571165482768
CJ McKay,4.785714285714286,4.785714285714286,4.785714285714286,4.785714285714286,8.571428571428571,4.785714285714286,4.785714285714286,4.785714285714286,4.785714285714286,4.785714285714286,1,15.214285714285715,9.528571428571428
CK Kapugedera,17.29411764705882,9.14705882352941,9.14705882352941,9.14705882352941,9.14705882352941,9.14705882352941,9.14705882352941,9.14705882352941,9.14705882352941,9.14705882352941,1,10.85294117647059,6.911764705882353
CK Langeveldt,5.592857142857143,3.599999999999999,7.885714285714286,7.885714285714286,5.592857142857143,5.592857142857143,5.592857142857143,5.592857142857143,5.592857142857143,5.592857142857143,3,14.407142857142855,9.844285714285713
CL White,20.57142857142857,11.39142857142857,16.28571428571428,11.39142857142857,8.100000000000001,8.0,11.39142857142857,11.39142857142857,11.39142857142857,11.39142857142857,4,8.60857142857143,6.765142857142858
CR Brathwaite,6.878297141455036,6.878297141455036,6.878297141455036,6.878297141455036,6.878297141455036,6.878297141455036,6.878297141455036,6.878297141455036,8.055944055944057,10.57894736842105,2,11.495603811393286,7.697362286835971
